Bucket,start-x,start-y,goal-x,goal-y,dist,time(ms),optimal
4,435,402,449,409,28.56,11.64,16.9
112,55,459,334,148,462.24,228.24,450.58
67,306,214,145,396,286.81,94.8,269.78
111,105,187,476,311,472.69,407.04,445.52
34,320,278,423,340,148.15,23.8,137.47
110,138,228,499,294,459.05,673.36,442.71
92,4,488,353,461,382.95,89.8,370.95
59,353,343,144,375,249.37,54.24,238.82
69,390,117,503,331,294.66,43.2,277.53
127,87,126,339,412,532.14,235.32,511.6
71,329,110,491,97,303.74,121.44,287.98
124,212,508,264,158,513.75,209.0,499.75
43,419,294,357,427,186.38,49.0,173.35
49,81,334,33,196,212.63,86.0,197.81
17,213,344,257,299,76.11,12.84,71.67
109,92,286,286,497,452.66,661.6,438.46
69,179,194,329,397,304.08,221.32,279.19
55,277,300,456,396,227.69,41.68,222.42
58,297,245,315,449,249.34,67.28,232.99
85,14,190,277,222,350.99,200.12,340.02
90,169,414,331,463,384.28,176.92,363.94
123,95,300,487,81,497.97,462.2,494.31
118,32,449,389,220,479.39,328.92,473.53
75,300,70,416,24,333.55,116.92,300.82
57,473,269,457,69,243.2,33.8,230.75
89,385,167,346,496,378.85,188.4,358.41
100,187,454,297,432,422.89,150.0,400.21
41,334,181,435,305,179.55,33.84,165.84
59,209,233,362,392,248.88,51.4,239.36
37,342,294,252,355,163.08,45.08,150.54
87,277,302,467,47,395.48,204.64,351.66
81,366,261,266,474,348.04,245.44,326.66
31,328,473,322,376,152.05,37.04,127.37
70,176,190,346,383,298.12,199.88,282.75
50,197,345,150,223,207.27,134.12,200.58
78,158,363,155,132,317.76,447.24,312.25
53,369,262,298,444,220.87,57.8,214.72
68,259,423,200,212,297.2,168.44,273.54
103,251,163,200,450,426.25,761.28,412.15
46,292,221,393,362,236.45,77.88,185.18
54,98,490,173,325,226.05,44.36,216.78
25,397,351,377,435,113.36,23.52,100.57
76,281,262,85,467,322.4,66.52,307.76
80,383,244,191,417,343.07,255.56,322.28
29,399,361,369,458,126.74,18.28,116.05
100,502,280,210,157,416.35,225.24,403.7
74,356,486,78,464,310.12,78.72,298.57
112,271,121,35,445,462.36,484.2,449.29
55,394,345,223,259,236.02,105.8,220.1
47,463,336,392,188,196.97,31.88,188.76
80,146,404,352,201,338.85,244.4,321.13
91,273,265,79,162,383.84,392.0,364.67
42,357,143,214,186,177.44,50.4,168.27
24,474,312,400,252,103.54,16.68,98.85
112,145,134,321,456,468.17,456.12,449.24
71,486,93,333,108,304.98,72.92,286.15
50,242,502,51,477,209.6,43.32,202.18
68,445,361,225,237,289.32,71.6,274.29
52,172,388,72,230,227.32,79.72,210.53
75,90,195,38,165,328.09,112.84,302.33
42,371,323,357,170,184.88,42.2,169.77
82,274,124,127,381,335.12,133.96,329.02
90,198,108,347,407,368.58,131.96,361.89
78,147,131,204,386,334.02,205.76,314.17
102,120,62,208,298,411.14,85.76,408.11
12,372,137,337,168,53.36,11.88,49.01
60,351,409,193,381,257.28,86.44,242.25
54,300,351,260,495,240.47,54.48,218.23
83,91,345,265,392,353.05,416.6,333.09
24,372,86,295,113,103.11,15.28,98.08
75,424,297,471,77,310.46,69.88,300.61
72,348,73,171,152,303.91,129.24,288.43
50,269,271,230,419,221.02,100.56,201.17
28,280,319,364,390,115.65,16.6,113.41
33,433,61,335,127,135.14,15.68,134.55
